,close,high,low,open,time,volumefrom,volumeto
7523,388.91,388.91,388.69,388.69,1514341620.0,121.0,47045.32
7524,387.18,388.92,386.98,388.89,1514341680.0,384.07,148683.08
7525,385.93,387.28,385.4,387.18,1514341740.0,322.69,124178.76
7526,383.99,386.38,383.8,385.93,1514341800.0,230.51,88464.47
7527,384.15,385.04,383.79,383.96,1514341860.0,130.82,50204.75
7528,385.19,385.25,384.21,384.27,1514341920.0,70.1,26971.74
7529,386.03,386.03,385.13,385.19,1514341980.0,15.67,6037.84
7530,386.95,387.32,385.94,385.98,1514342040.0,453.97,175795.29
7531,388.63,388.63,386.95,386.95,1514342100.0,151.26,58458.49
7532,389.62,389.62,388.59,388.63,1514342160.0,581.46,226506.71
7533,389.63,390.2,389.49,389.62,1514342220.0,298.57,116328.56
7534,389.67,389.93,389.62,389.63,1514342280.0,203.18,78868.42
7535,389.67,390.1,389.05,389.67,1514342340.0,75.69,29505.07
7536,389.84,389.84,389.35,389.67,1514342400.0,55.4,21594.77
7537,389.63,389.84,389.57,389.84,1514342460.0,101.86,39695.29
7538,389.73,390.03,389.54,389.63,1514342520.0,53.34,20767.21
7539,389.26,389.73,388.28,389.73,1514342580.0,85.07,33152.22
7540,388.71,389.26,387.93,389.26,1514342640.0,215.14,83385.67
7541,388.45,388.69,387.5,388.68,1514342700.0,104.04,40320.4
7542,386.79,388.45,386.79,388.45,1514342760.0,107.89,41676.66
7543,386.26,387.42,386.26,386.79,1514342820.0,44.32,17145.29
7544,386.11,386.41,384.81,386.41,1514342880.0,97.83,37623.71
7545,384.25,386.11,383.87,386.11,1514342940.0,287.43,110171.9
7546,382.85,384.45,382.74,384.25,1514343000.0,385.95,147738.02
7547,383.5,383.63,382.82,382.86,1514343060.0,95.76,36644.22
7548,385.3,385.58,383.5,383.5,1514343120.0,93.06,35859.47
7549,383.98,385.3,383.94,385.3,1514343180.0,26.73,10277.22
7550,384.27,384.28,383.98,383.98,1514343240.0,21.1,8100.54
7551,384.74,384.84,384.27,384.27,1514343300.0,33.15,12792.9
7552,385.27,385.28,385.17,385.18,1514343360.0,34.21,13180.91
7553,385.0,385.92,384.99,385.27,1514343420.0,63.21,24284.2
7554,384.29,385.24,383.98,385.0,1514343480.0,125.29,48102.79
7555,384.13,384.61,383.89,384.29,1514343540.0,25.37,9779.86
7556,383.39,384.27,382.76,384.13,1514343600.0,125.02,47858.25
7557,383.58,383.79,383.07,383.39,1514343660.0,20.36,7835.58
7558,382.92,383.61,382.89,383.61,1514343720.0,47.58,18238.04
7559,382.97,383.36,382.51,382.82,1514343780.0,68.85,26341.73
7560,383.5,383.5,382.23,382.87,1514343840.0,26.86,10247.11
7561,383.23,383.5,382.44,383.5,1514343900.0,26.33,10092.81
7562,382.92,383.14,382.74,383.1,1514343960.0,44.59,17030.51
7563,381.82,382.86,381.05,382.86,1514344020.0,267.2,101686.06
7564,381.6,381.89,380.87,381.82,1514344080.0,110.59,42041.37
7565,380.97,381.78,380.93,381.6,1514344140.0,13.45,5132.15
7566,380.37,381.7,380.37,380.97,1514344200.0,178.07,67666.46
7567,379.15,380.37,379.03,380.37,1514344260.0,158.16,59873.4
7568,380.49,380.5,379.12,379.15,1514344320.0,113.22,42859.42
7569,381.09,381.29,380.17,380.41,1514344380.0,51.19,19515.92
7570,380.64,381.19,380.5,381.09,1514344440.0,13.97,5323.76
7571,381.26,381.26,380.64,380.64,1514344500.0,55.59,21179.29
7572,381.68,382.1,380.97,381.2,1514344560.0,77.8,29696.25
7573,381.62,382.09,381.36,381.68,1514344620.0,48.27,18438.62
7574,381.06,382.12,380.83,381.62,1514344680.0,203.17,77422.91
7575,382.54,382.69,381.06,381.06,1514344740.0,90.06,34418.87
7576,383.44,383.48,381.84,382.58,1514344800.0,112.73,43186.98
7577,383.18,383.98,383.12,383.44,1514344860.0,49.93,19151.21
7578,384.25,384.26,383.18,383.28,1514344920.0,19.89,7609.71
7579,384.18,384.49,383.48,384.26,1514344980.0,63.68,24439.09
7580,383.5,384.18,383.48,384.18,1514345040.0,38.4,14706.73
7581,383.7,383.88,383.5,383.5,1514345100.0,88.71,33989.62
7582,384.0,384.0,383.72,383.72,1514345160.0,6.68,2570.3
7583,383.82,384.07,383.82,383.94,1514345220.0,4.1,1575.03
7584,383.81,384.04,383.81,383.82,1514345280.0,29.58,11348.06
7585,383.99,384.04,383.81,383.81,1514345340.0,21.0,8079.32
7586,384.04,384.1,384.03,384.1,1514345400.0,25.71,9860.78
7587,385.03,385.03,384.04,384.04,1514345460.0,10.43,4018.83
7588,383.3,385.03,382.5,384.85,1514345520.0,26.59,10191.31
7589,383.31,383.31,383.3,383.3,1514345580.0,4.75,1827.09
7590,384.73,384.73,383.31,383.31,1514345640.0,6.78,2628.7
7591,384.78,384.78,384.73,384.73,1514345700.0,7.92,3074.09
7592,385.58,385.6,384.09,384.78,1514345760.0,188.0,72242.35
7593,385.22,386.65,384.58,385.58,1514345820.0,127.73,49257.33
7594,386.53,386.57,385.22,385.22,1514345880.0,20.02,7743.7
7595,386.78,386.79,386.54,386.54,1514345940.0,19.18,7429.68
7596,387.04,387.04,386.84,386.84,1514346000.0,8.55,3340.65
7597,387.01,387.23,387.01,387.1,1514346060.0,27.86,10787.22
7598,387.4,387.48,386.89,387.44,1514346120.0,27.22,10554.69
7599,388.33,388.39,387.4,387.4,1514346180.0,36.79,14306.3
7600,387.24,388.33,387.16,388.33,1514346240.0,3.0,1158.37
7601,386.23,387.99,386.02,387.24,1514346300.0,106.77,41334.03
7602,387.89,387.93,386.23,386.26,1514346360.0,20.03,7790.76
7603,387.89,387.93,387.89,387.89,1514346420.0,2.36,915.33
7604,388.18,388.29,387.89,387.89,1514346480.0,6.49,2525.12
7605,388.18,388.18,388.04,388.18,1514346540.0,11.56,4504.94
7606,388.38,389.95,388.06,388.15,1514346600.0,305.73,119218.2
7607,390.02,390.02,388.56,388.56,1514346660.0,112.19,43705.8
7608,390.14,391.22,389.95,389.95,1514346720.0,430.9,168679.66
7609,391.1,392.88,390.17,390.17,1514346780.0,827.62,324924.46
